2026-06-15 16:30:32,763 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 62.62, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.37377882474977236, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 105.0, 'horario': '2026-06-15 16:30:32'}
2026-06-15 16:30:37,741 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 65.23, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.3476761864024825, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 36.0, 'horario': '2026-06-15 16:30:37'}
2026-06-15 16:30:42,744 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 63.54, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.3645837514172073, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 32.0, 'horario': '2026-06-15 16:30:42'}
2026-06-15 16:30:47,765 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 63.63, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.3637097598758544, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 76.0, 'horario': '2026-06-15 16:30:47'}
2026-06-15 16:30:52,766 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 67.48, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.3251685892389495, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 94.0, 'horario': '2026-06-15 16:30:52'}
2026-06-15 16:30:57,755 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 63.91, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.36091790991002387, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 75.0, 'horario': '2026-06-15 16:30:57'}
2026-06-15 16:31:02,786 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 64.75, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.3525491379645865, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 40.0, 'horario': '2026-06-15 16:31:02'}
2026-06-15 16:31:07,763 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 59.0, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.4100096517227373, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 15.0, 'horario': '2026-06-15 16:31:07'}
2026-06-15 16:31:16,741 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 64.38, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.3561594712687867, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 6.0, 'horario': '2026-06-15 16:31:16'}
2026-06-15 16:31:25,766 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 63.46, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.36537235736471685, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 117.0, 'horario': '2026-06-15 16:31:25'}
2026-06-15 16:31:30,773 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 55.45, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.4455392758416361, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 115.0, 'horario': '2026-06-15 16:31:30'}
2026-06-15 16:31:35,806 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 64.4, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.356046792108743, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 18.0, 'horario': '2026-06-15 16:31:35'}
2026-06-15 16:31:40,791 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 57.74, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.42256779086822405, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 18.0, 'horario': '2026-06-15 16:31:40'}
2026-06-15 16:31:45,803 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 61.94, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.3805679247513858, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 23.0, 'horario': '2026-06-15 16:31:45'}
2026-06-15 16:31:54,783 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 52.81, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.4719244374501292, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 30.0, 'horario': '2026-06-15 16:31:54'}
2026-06-15 16:31:59,793 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 51.4, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.48604027829171575, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 8.0, 'horario': '2026-06-15 16:31:59'}
2026-06-15 16:37:22,844 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 54.53, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.45469008480586787, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 62.0, 'horario': '2026-06-15 16:37:22'}
2026-06-15 16:37:31,819 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 60.65, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.3934791008621971, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 99.0, 'horario': '2026-06-15 16:37:31'}
2026-06-15 16:37:40,807 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 61.12, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.3887580346234627, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 133.0, 'horario': '2026-06-15 16:37:40'}
2026-06-15 16:37:45,809 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 63.29, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.3670820151355969, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 12.0, 'horario': '2026-06-15 16:37:45'}
2026-06-15 16:37:50,771 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 60.01, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.3998588751812151, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 25.0, 'horario': '2026-06-15 16:37:50'}
2026-06-15 16:37:55,814 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 57.05, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.4295434312814008, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 33.0, 'horario': '2026-06-15 16:37:55'}
2026-06-15 16:38:08,839 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 55.15, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.4484865829776142, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 129.0, 'horario': '2026-06-15 16:38:08'}
2026-06-15 16:38:13,793 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 55.5, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.44502562589611394, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 36.0, 'horario': '2026-06-15 16:38:13'}
2026-06-15 16:38:18,797 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 66.52, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.33484600968828304, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 15.0, 'horario': '2026-06-15 16:38:18'}
